Meses,Zonas,Total de chamadas,Numero_de_chamadas_com_progresso_feitas
Fevereiro,Sispen Metropolitano,23118,0
Fevereiro,1º BPM,17719,0
Fevereiro,3º BPM,17659,0
Fevereiro,9º BPM,15325,0
Fevereiro,5º BPM,13854,0
Fevereiro,4º BPM,13303,0
Fevereiro,10º BPM,11984,0
Fevereiro,6º BPM,11824,0
Fevereiro,GIR,11813,0
Fevereiro,CRBM 1,10375,0
Fevereiro,4ºBBM,3232,0
Fevereiro,1º CIBM,1907,0
Fevereiro,7º CIBM,555,0
