CODIGO,GSSI,Número Total de Chamadas
65526,SISPEN SAPEZAL,693
65525,SESPEN COMODORO,847
65524,SISPEN S.J QUATRO MARCOS,37
65523,CADEIA PUBLICA MIRASSOL OESTE,13
65522,SISPEN MIRASSOL OESTE,15
65521,SISPEN FEM CACERES,9
65520,SISPEN JUINA,4320
65519,SISPEN PONTES LACERDA,13
65518,SISPEN MASC CACERES,9
65517,SISPEN TANGARA SERRA,787
65516,CADEIA PUBLOCA VILA RICA,1457
65515,SISPEN SINOP,307
65514,SISPEN NOVA MUTUM,4134
65513,CADEIA PUBLICA VILA RICA,112
65512,SISPEN AGUA BOA,356
65511,SISPEN BARRA GARÇAS,13815
65508,PENINTENCIARIA AHMENON,40019
65507,CADEIA PUBLICA CAMPO NOVO P,19
65506,CADEIA PUBLICA PORTO GAUCHO,32
65505,CADEIA PUBLICA JUARA,675
65504,CADEIA PUBLICA COLZINA,30
65503,TREINAMENTO SISPEN,1174
65502,OPERACAO SISPEN,9304
65501,SISPEN METROPOLIT,172292
65500,SISPEN RONDONOPOLIS,1346
65421,POLITEC GUARANTA NORTE,23
65420,POLITEC JUINA,28
65419,POLITEC PONTES LACERDA,2
65418,POLITEC CACERES,1
65417,POLITEC TANGARA,16
65416,POLITEC ALTA FLORESTA,209
65415,POLITEC SINOP,21
65414,POLITEC NOVA MUTUM,81
65413,POLITEC VILA RICA,50
65412,POLITEC AGUA BOA,9
65411,POLITEC BARRA DO GARCAS,33
65410,POLITEC PRIMAVERA LESTE,73
65406,INTELIGENCIA SOCIEDUCATIVO,3324
65405,GIR,4931
65404,SOE,13147
65403,TREINAMENTO 1 POLITEC,110
65402,OPERAÇÃO 1 POLITEC,5847
65401,POLITEC METROPOL,2492
65400,POLITEC RONDONOPOLIS,85
65393,TREINAMENTO DEFESA CIVIL,3
65391,OPERAÇÃO DESAST DEF CIVIL 1,13
65390,OPERAÇÃO DESAST DEF CIVIL 2,166
65367,CIMAN,17
65361,GAVBM,3
65360,BEA,1025
65357,NBM GUARANTA NORTE,1245
65356,12° CIBM,1411
65355,7º CIBM,4463
65354,CRBM VII,106
65351,NBM CAMPO NOVO PARECIS,6
65350,14º CIBM,747
65349,3º CIBM TANGARA SERRA,4283
65348,CRBM VII,58
65344,8º CIBM PONTES E LACERDA,920
65343,2º CIBM CACERES,7642
65342,CRBM V,69
65339,NBM CONFRESA,446
65338,4º BBM,1907
65337,1º CIBM,29408
65336,CRBM IV,455
65332,13ºCIBM,20136
65331,10ºCIBM,16851
65330,5ºCIBM,22635
65329,4ºBBM,37818
65328,CRM III,13980
65325,NBM ALTO ARAGUAIA,86
65324,11º CIBM,13097
65323,9ºCIBM,1988
65322,6ºCIBM,20209
65321,CºBBM,15382
65320,CRBM II,415
65308,TREINAMENTO 2 CBM,5
65307,TREINAMENTO 1 CBM,96
65306,OPERAÇÃO 2 CBM,5
65305,OPERAÇÃO 1 CBM,38
65304,INTELIGENCIA CBM,33
65303,2ºBBM,121
65302,1ºBBM,182
65301,CRBM I,149186
65300,CBMMT,533
65263,INTELIGENCIA PEIXOTO,6
65262,FT PEIXOTO AZEVEDO,109
65261,NPM NOVO MUNDO,59
65260,13º CIPM,1342
65259,NPM ITAUBA,244
65258,NPM NOVA SANTA HELENA,63
65257,NPM NOVA GUARITA,31
65256,1° PEL TERRA NOVA NORTE,17
65255,3º CPM,39
65254,2º CPM,75
65253,22º BPM,522
65252,15 CR,7930
