Meses,Zonas,Total de Chamadas,Numero_de_chamadas_com_progresso_feitas
Março,Sispen Metropolitano,22789,0
Março,3º BPM,20137,0
Março,1º BPM,20056,0
Março,9º BPM,18281,0
Março,5º BPM,14788,0
Março,10º BPM,13968,0
Março,4º BPM,13650,0
Março,6º BPM,13435,0
Março,CRBM 1,11798,0
Março,4º BBM,3996,0
Março,1º CIBM,2749,0
Março,7º CIBM,110,0
Março,BUSCA E RESG CAPT,2,0
