Meses,Zonas,Número Total de Chamadas,Numero_de_chamadas_com_progresso_feitas
Julho,Sispen Metropolitano,16317,0
Julho,3º BPM,15569,0
Julho,1º BPM,13269,0
Julho,CRBM 1,12320,0
Julho,9º BPM,12049,0
Julho,4º BPM,11510,0
Julho,5º BPM,11243,0
Julho,6º BPM,8923,0
Julho,10º BPM,8711,0
Julho,5º CR BARRA DO G,8035,0
Julho,BUSC E RESG CAPT,7396,0
Julho,4º BBM,3709,0
Julho,1º CIBM,1742,0
Julho,7º CIBM,557,0
