Meses,Zonas,Total de Chamadas,Numero_de_chamadas_com_progresso_feitas
Maio,Sispen Metropolitano,22548,0
Maio,3º BPM,22387,0
Maio,1ºBPM,21178,0
Maio,9º BPM,20095,0
Maio,4ºBPM,16650,0
Maio,5º BPM,16051,0
Maio,6º BPM,14292,0
Maio,10º BPM,14187,0
Maio,CRBM 1,10908,0
Maio,4º BBM,4049,0
Maio,1º CIBM,2894,0
Maio,7º CIBM,112,0
